//Section	Type	Level	Dur	Skill	Luck	Option	ExOp
7	25	0	0	1	1	1	0	0	0	0	255	255	255	255	255
8	25	0	0	1	1	1	0	0	0	0	255	255	255	255	255
9	25	0	0	1	1	1	0	0	0	0	255	255	255	255	255
10	25	0	0	1	1	1	0	0	0	0	255	255	255	255	255
11	25	0	0	1	1	1	0	0	0	0	255	255	255	255	255

12	21	0	0	0	0	0	0	0	0	0	255	255	255	255	255
12	22	0	0	0	0	0	0	0	0	0	255	255	255	255	255
12	24	0	0	0	0	0	0	0	0	0	255	255	255	255	255
12	35	0	0	0	0	0	0	0	0	0	255	255	255	255	255
12	23	0	0	0	0	0	0	0	0	0	255	255	255	255	255
12	48	0	0	0	0	0	0	0	0	0	255	255	255	255	255

2	8	0	0	1	1	0	0	0	0	0	255	255	255	255	255
2	10	0	0	1	1	0	0	0	0	0	255	255	255	255	255

end

