//Section	Type	Level	Dur	Skill	Luck	Option	Excellent
14	3	0	3	0	0	0	0	0	0	0	255	255	255	255	255
14	6	0	3	0	0	0	0	0	0	0	255	255	255	255	255
14	3	0	3	0	0	0	0	0	0	0	255	255	255	255	255
14	6	0	3	0	0	0	0	0	0	0	255	255	255	255	255
14	8	0	3	0	0	0	0	0	0	0	255	255	255	255	255
14	1	0	2	0	0	0	0	0	0	0	255	255	255	255	255
14	4	0	2	0	0	0	0	0	0	0	255	255	255	255	255
14	3	0	3	0	0	0	0	0	0	0	255	255	255	255	255
14	6	0	3	0	0	0	0	0	0	0	255	255	255	255	255
4	15	1	255	0	0	0	0	0	0	0	255	255	255	255	255
4	15	3	255	0	0	0	0	0	0	0	255	255	255	255	255
4	7	1	255	0	0	0	0	0	0	0	255	255	255	255	255
4	7	3	255	0	0	0	0	0	0	0	255	255	255	255	255

end

