//Section	Type	Level	Dur	Skill	Luck	Option	Excellent
14	3	0	255	0	0	0	0	0	0	0	255	255	255	255	255 //Bình Máu To
14	6	0	255	0	0	0	0	0	0	0	255	255	255	255	255 //Bình Phép To
14	3	0	100	0	0	0	0	0	0	0	255	255	255	255	255 //Bình Máu To
14	6	0	100	0	0	0	0	0	0	0	255	255	255	255	255 //Bình Phép To
14	17	7	1	0	0	0	0	0	0	0	255	255	255	255	255 //Con Mắt Quỷ
14	18	7	1	0	0	0	0	0	0	0	255	255	255	255	255 //Chìa Khóa Quỷ
13	16	8	1	0	0	0	0	0	0	0	255	255	255	255	255 //Thánh Chỉ
13	17	8	1	0	0	0	0	0	0	0	255	255	255	255	255 //Nanh Máu


