//Section	Type	Level	Dur	Skill	Luck	Option	Excellent
7	9	0	0	0	0	1	0	0	0	0	255	255	255	255	255 //
7	12	0	0	0	0	1	0	0	0	0	255	255	255	255	255 //
6	5	0	0	1	0	1	0	0	0	0	255	255	255	255	255 //
6	7	0	0	0	1	1	0	0	0	0	255	255	255	255	255 //
8	9	0	0	0	0	1	0	0	0	0	255	255	255	255	255 //
8	12	0	0	0	0	1	0	0	0	0	255	255	255	255	255 //
6	3	0	0	0	1	0	0	0	0	0	255	255	255	255	255 //
6	11	0	0	0	1	0	0	0	0	0	255	255	255	255	255 //
9	9	0	0	0	0	1	0	0	0	0	255	255	255	255	255 //
9	12	0	0	0	0	1	0	0	0	0	255	255	255	255	255 //
3	7	0	0	1	1	1	0	0	0	0	255	255	255	255	255 //
3	0	0	0	1	0	0	0	0	0	0	255	255	255	255	255 //
10	9	0	0	0	0	1	0	0	0	0	255	255	255	255	255 //
10	12	0	0	0	0	1	0	0	0	0	255	255	255	255	255 //
11	9	0	0	0	0	1	0	0	0	0	255	255	255	255	255 //
11	12	0	0	0	0	1	0	0	0	0	255	255	255	255	255 //
0	11	0	0	1	0	0	0	0	0	0	255	255	255	255	255 //
0	13	0	0	1	0	0	0	0	0	0	255	255	255	255	255 //
0	14	0	0	0	0	1	0	0	0	0	255	255	255	255	255 //
3	4	0	0	0	0	0	0	0	0	0	255	255	255	255	255 //
4	4	0	0	0	0	0	0	0	0	0	255	255	255	255	255 //
4	5	0	0	0	0	0	0	0	0	0	255	255	255	255	255 //
4	11	0	0	0	0	0	0	0	0	0	255	255	255	255	255 //


end

