//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	1000	0	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Kris (1 UN)
1010	1010	1000	1	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Short Sword (1 UN)
1020	1020	1000	2	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Rapier (1 UN)
1030	1030	1000	3	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Katana (1 UN)
1040	1040	1000	4	13	1	1	7	63	0	0	0	255	255	255	255	255	0	0	// Sword of Assassin (1 UN)
1050	1050	1000	5	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Blade (1 UN)
1060	1060	1000	6	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Gladius (1 UN)
1070	1070	1000	7	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Falchion (1 UN)
1080	1080	1000	8	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Serpent Sword (1 UN)
1090	1090	1000	9	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Sword of Salamander (1 UN)
1100	1100	1000	10	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Light Saber (1 UN)
1110	1110	1000	12	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Heliacal Sword (1 UN)
1120	1120	1000	13	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Double Blade (1 UN)
1130	1130	1000	14	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Lighting Sword (1 UN)
1140	1140	1000	15	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Giant Sword (1 UN)
1150	1150	1200	16	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Sword of Destruction (1 UN)
1160	1160	1200	17	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Dark Breaker (1 UN)
1170	1170	1200	18	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Thunder Blade (1 UN)
1180	1180	1200	19	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Divine Sword of Archangel (1 UN)
1190	1190	1200	20	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Knight Blade (1 UN)
1200	1200	1200	21	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Dark Reign Blade (1 UN)
1210	1210	1800	22	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Bone Blade (1 UN)
1220	1220	1800	23	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Explosion Blade (1 UN)
1230	1230	1800	24	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Daybreak (1 UN)
1240	1240	1800	25	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Sword Dancer (1 UN)
1250	1250	5000	26	13	1	1	0	63	0	0	0	255	255	255	255	255	0	0	// Flameberge 7 Dias (1 UN)
